Make,Model,Model Year,Type,Price LL,Price UL,Score,Gas,Hybrid,PHEV,EV,Transmission,Fakery,Door sills protrude,Parking cam mud,Key design/weight,Acceleration,Brake,Eco,Build,Driver's Display: Easy,Driver's Display: Bright,Infotainment: Responsive,Infotainment: Bright,Infotainment: Parking Cam,Infotainment: A/C control,Infotainment: Vol control,Centre cubby,Doorbins Front,Doorbins Back,Cup-holder,Glovebox,Charging ports,Seatback Pocket,Sunglass storage,Driver seat: pos/shape/mtr,Driver seat: Adjustment,Steering: Adjustment,Suspension,Insulation,Engine noise,Body roll,Backseat: Headroom,Backseat: Kneeroom,Backseat: Incline,Backseat: Deep footwell,Backseat: Flat floor,Backseat: Isofix,Backseat: Armrest cover,Backseat: Seat-belts pos,Backseat: Rear windows roll,"Rear A/C, port, Climate",Boot lip,Flat boot,Easily foldable seats,Load cover fits inside,NCAP,Reliable,Visibility: Side mirrors,Visibility: IRVM-Back,Visibility: Pillars,Handling
Ford,Mustang,2026,Sports,"$38,930.00","$79,650.00",39,TRUE,FALSE,FALSE,FALSE,Torque Converter,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Ford,Mustang Mach-e,2025,Coupé,"$46,995.00","$64,995.00",26,FALSE,FALSE,FALSE,TRUE,Single-Speed,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,FALSE,TRUE,,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,TRUE,,TRUE,TRUE,,TRUE,,TRUE,TRUE,,TRUE
Genesis,G70,2026,Sedan,"$56,000.00","$69,500.00",45,TRUE,FALSE,FALSE,FALSE,Torque Converter,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Genesis,G80,2026,Sedan,"$74,500.00","$90,000.00",43,TRUE,FALSE,FALSE,FALSE,Torque Converter,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Genesis,G90,2026,Sedan,"$118,000.00","$121,500.00",44,TRUE,TRUE,FALSE,FALSE,Torque Converter,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Genesis,GV60,2025,Coupé,"$75,500.00","$84,000.00",46,FALSE,FALSE,FALSE,TRUE,Single-Speed,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Genesis,GV70,2026,SUV,"$60,000.00","$88,500.00",45,TRUE,FALSE,FALSE,FALSE,Torque Converter,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Genesis,GV70 EV,2026,SUV,"$70,000.00","$85,000.00",47,FALSE,FALSE,FALSE,TRUE,Single-Speed,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Genesis,GV80,2026,SUV,"$82,000.00","$100,000.00",41,TRUE,FALSE,FALSE,FALSE,Torque Converter,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Genesis,GV80 Coupe,2026,Coupé,"$105,500.00","$108,000.00",39,TRUE,FALSE,FALSE,FALSE,Torque Converter,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
